idRischio,sesso,etaMin,etaMax,diabete,fumo,pressioneMin,pressioneMax,colesteroloMin,colesteroloMax,percentuale
r188,donna,60,69,0,1,150,169,213,251,15
r189,donna,60,69,0,1,150,169,252,290,15
r190,donna,60,69,0,1,150,169,291,320,20
r191,donna,60,69,0,1,130,149,130,173,10
r192,donna,60,69,0,1,130,149,174,212,10
r193,donna,60,69,0,1,130,149,213,251,10
r194,donna,60,69,0,1,130,149,252,290,10
r195,donna,60,69,0,1,130,149,291,320,15
r196,donna,60,69,0,1,90,129,130,173,10
r197,donna,60,69,0,1,90,129,174,212,10
r198,donna,60,69,0,1,90,129,213,251,10
r199,donna,60,69,0,1,90,129,252,290,10
r200,donna,60,69,0,1,90,129,291,320,10
r201,donna,50,59,0,1,170,200,130,173,10
r202,donna,50,59,0,1,170,200,174,212,10
r203,donna,50,50,0,1,170,200,213,251,10
r204,donna,50,59,0,1,170,200,252,290,10
r205,donna,50,59,0,1,170,200,291,320,15
r206,donna,50,59,0,1,150,169,130,173,5
r207,donna,50,59,0,1,150,169,174,212,5
r208,donna,50,59,0,1,150,169,213,251,10
r209,donna,50,59,0,1,150,169,252,290,10
r210,donna,50,59,0,1,150,169,291,320,10
r211,donna,50,59,0,1,130,149,130,173,5
r212,donna,50,59,0,1,130,149,174,212,5
r213,donna,50,59,0,1,130,149,213,251,5
r214,donna,50,59,0,1,130,149,252,290,5
r215,donna,50,59,0,1,130,149,291,320,5
r216,donna,50,59,0,1,90,129,130,173,5
r217,donna,50,59,0,1,90,129,174,212,5
r218,donna,50,59,0,1,90,129,213,251,5
r219,donna,50,59,0,1,90,129,252,290,5
r220,donna,50,59,0,1,90,129,291,320,5
r221,donna,40,49,0,1,170,200,130,173,5
r222,donna,40,49,0,1,170,200,174,212,5
r223,donna,40,49,0,1,170,200,213,251,5
r224,donna,40,49,0,1,170,200,252,290,5
r225,donna,40,49,0,1,170,200,291,320,5
r226,donna,40,49,0,1,150,169,130,173,5
r227,donna,40,49,0,1,150,169,174,212,5
r228,donna,40,49,0,1,150,169,213,251,5
r229,donna,40,49,0,1,150,169,252,290,5
r230,donna,40,49,0,1,150,169,291,320,5
r231,donna,40,49,0,1,130,149,130,173,5
r232,donna,40,49,0,1,130,149,174,212,5
r233,donna,40,49,0,1,130,149,213,251,5
r234,donna,40,49,0,1,130,149,252,290,5
r235,donna,40,49,0,1,130,149,291,320,5
r236,donna,40,49,0,1,90,129,130,173,5
r237,donna,40,49,0,1,90,129,174,212,5
r238,donna,40,49,0,1,90,129,213,251,5
r239,donna,40,49,0,1,90,129,252,290,5
r240,donna,40,49,0,1,90,129,291,320,5
r241,uomo,60,69,1,0,170,200,130,173,31
r242,uomo,60,69,1,0,170,200,174,212,31
r243,uomo,60,69,1,0,170,200,213,251,31
r244,uomo,60,69,1,0,170,200,252,290,31
r245,uomo,60,69,1,0,170,200,291,320,31
r246,uomo,60,69,1,0,150,169,130,173,30
r247,uomo,60,69,1,0,150,169,174,212,30
r248,uomo,60,69,1,0,150,169,213,251,31
r249,uomo,60,69,1,0,150,169,252,290,31
r250,uomo,60,69,1,0,150,169,291,320,31
r251,uomo,60,69,1,0,130,149,130,173,20
r252,uomo,60,69,1,0,130,149,174,212,20
r253,uomo,60,69,1,0,130,149,213,251,30
r254,uomo,60,69,1,0,130,149,252,290,30
r255,uomo,60,69,1,0,130,149,291,320,31
r256,uomo,60,69,1,0,90,129,130,173,15
r257,uomo,60,69,1,0,90,129,174,212,15
r258,uomo,60,69,1,0,90,129,213,251,20
r259,uomo,60,69,1,0,90,129,252,290,30
r260,uomo,60,69,1,0,90,129,291,320,30
r261,uomo,50,59,1,0,170,200,130,173,20
r262,uomo,50,59,1,0,170,200,174,212,20
r263,uomo,50,50,1,0,170,200,213,251,20
r264,uomo,50,59,1,0,170,200,252,290,30
r265,uomo,50,59,1,0,170,200,291,320,31
r266,uomo,50,59,1,0,150,169,130,173,15
r267,uomo,50,59,1,0,150,169,174,212,15
r268,uomo,50,59,1,0,150,169,213,251,15
r269,uomo,50,59,1,0,150,169,252,290,20
r270,uomo,50,59,1,0,150,169,291,320,30
r271,uomo,50,59,1,0,130,149,130,173,10
r272,uomo,50,59,1,0,130,149,174,212,10
r273,uomo,50,59,1,0,130,149,213,251,15
r274,uomo,50,59,1,0,130,149,252,290,15
r275,uomo,50,59,1,0,130,149,291,320,20
r276,uomo,50,59,1,0,90,129,130,173,10
r277,uomo,50,59,1,0,90,129,174,212,10
r278,uomo,50,59,1,0,90,129,213,251,10
r279,uomo,50,59,1,0,90,129,252,290,10
r280,uomo,50,59,1,0,90,129,291,320,15
r281,uomo,40,49,1,0,170,200,130,173,10
r282,uomo,40,49,1,0,170,200,174,212,10
r283,uomo,40,49,1,0,170,200,213,251,10
